Frequency - Plot 0	Phase - Plot 0	
1100,08	-1,02322	
1100,08	-1,05598	
1199,93	-1,03478	
1199,93	-1,08506	
1199,93	-1,01693	
1299,95	-1,03186	
1299,95	-1,07053	
1299,95	-1,02147	
1299,95	-1,08773	
1399,98	-1,10762	
1399,98	-1,08155	
1399,97	-1,07528	
1500	-1,10648	
1500	-1,01941	
1500	-1,06928	
1600,02	-1,0888	
1600,02	-1,0406	
1600,03	-1,08682	
1600,02	-0,928878	
1700,05	-1,0531	
1700,05	-0,909366	
1700,05	-1,00855	
1800,07	-0,939724	
1800,07	-1,00485	
1800,07	-0,873654	
1900,1	-1,01787	
1900,1	-0,908662	
1900,1	-0,942982	
1900,1	-0,960086	
1999,94	-0,904887	
1999,94	-0,923287	
1999,94	-0,887483	
2099,96	-1,04202	
2099,96	-0,954718	
2099,96	-1,05293	
2199,99	-0,870148	
2199,99	-1,04195	
2199,99	-0,967022	
2199,99	-0,984743	
2300,01	-1,06621	
2300,01	-0,960815	
2300,01	-0,99452	
2400,04	-1,0571	
2400,04	-0,91454	
2400,04	-1,00729	
2500,06	-0,812677	
2500,06	-0,997643	
2500,06	-0,875216	
2500,06	-0,795289	
2600,09	-0,815546	
2600,09	-1,0048	
2600,09	-1,07533	
2700,11	-0,997107	
2700,11	-0,998361	
2700,11	-0,83245	
2799,95	-0,910988	
2799,95	-1,00927	
2799,95	-0,861145	
2799,95	-0,955236	
2899,97	-0,963038	
2899,97	-0,828116	
2899,97	-1,10363	
3000	-0,837758	
3000	-1,00007	
3000	-1,01002	
3100,02	-0,909719	
3100,02	-0,895594	
3100,02	-1,01895	
3100,02	-1,04717	
3200,05	-0,806047	
3200,05	-0,81659	
3200,05	-0,844108	
3300,07	-0,991123	
3300,07	-0,823032	
3300,07	-0,933873	
3400,1	-0,755294	
3400,1	-0,968855	
3400,1	-0,910558	
3400,1	-0,862246	
3499,94	-0,833163	
3499,94	-0,910785	
3499,94	-0,889482	
3599,96	-0,84784	
3599,96	-0,789146	
3599,97	-0,898056	
3699,99	-0,781335	
3699,99	-0,844982	
3699,99	-0,873436	
3699,99	-0,76728	
3800,01	-0,841832	
3800,01	-0,877781	
3800,01	-0,850228	
3900,03	-0,828646	
3900,04	-0,743876	
3900,03	-0,8763	
4000,06	-0,929707	
4000,06	-0,870071	
4000,06	-0,726173	
4000,06	-0,878248	
4100,09	-0,747165	
4100,08	-0,814781	
4100,09	-0,82108	
4200,11	-0,740189	
4200,12	-0,760948	
4200,11	-0,691478	
4299,95	-0,797512	
4299,95	-0,725251	
4299,95	-0,743515	
4299,95	-0,877425	
4399,98	-0,88184	
4399,98	-0,590774	
4399,97	-0,890052	
4500	-0,785636	
4500	-0,718807	
4500	-0,712818	
4600,02	-0,680164	
4600,02	-0,638797	
4600,02	-0,72041	
4600,02	-0,708875	
4700,05	-0,804567	
4700,05	-0,769776	
4700,05	-0,737275	
4800,07	-0,786104	
4800,07	-0,708732	
4800,07	-0,719829	
4900,1	-0,668516	
4900,1	-0,730262	
4900,1	-0,628025	
4900,1	-0,769437	
5000,12	-0,6681	
5000,12	-0,698331	
5000,12	-0,666385	
5099,96	-0,833978	
5099,96	-0,747355	
5099,96	-0,715521	
5199,98	-0,727318	
5199,99	-0,62914	
5199,99	-0,767553	
5200,12	-0,914501	
5300,01	-0,757217	
5300,01	-0,716733	
5300,01	-0,736509	
5400,04	-0,751644	
5400,03	-0,664506	
5400,04	-0,700678	
5500,06	-0,730259	
5500,06	-0,650192	
5500,06	-0,544325	
5591,22	-117,494	
5600,09	-0,684453	
5600,08	-0,800195	
5600,08	-0,779607	
5700,11	-0,641144	
5700,11	-0,641062	
5700,11	-0,718655	
5800,13	-0,691631	
5800,13	-0,771441	
5800,13	-0,667881	
5847,21	-90,922	
5899,97	-0,613099	
5899,97	-0,629507	
5899,97	-0,806129	
6000	-0,564102	
6000	-0,503334	
6000	-0,658859	
6100,02	-0,648134	
6100,02	-0,675841	
6100,02	-0,600401	
6200,05	-0,671944	
6200,05	-0,627649	
6200,05	-0,46358	
6200,05	-0,673556	
6300,07	-0,622407	
6300,07	-0,61053	
6300,07	-0,750597	
6400,1	-0,699371	
6400,1	-0,623682	
6400,1	-0,648695	
6487,32	-124,668	
6500,12	-0,769775	
6500,12	-0,650301	
6500,12	-0,610344	
6599,96	-0,72584	
6599,96	-0,590792	
6599,96	-0,62907	
6699,99	-0,653925	
6699,99	-0,664258	
6699,98	-0,591791	
6800,01	-0,615098	
6800,01	-0,603245	
6800,01	-0,650922	
6800,01	-0,613366	
6900,04	-0,507043	
6900,04	-0,596254	
6900,04	-0,620992	
7000,06	-0,721794	
7000,06	-0,415339	
7000,06	-0,544884	
7100,06	-31,0786	
7100,09	-0,541226	
7100,08	-0,523055	
7100,08	-0,568311	
7200,11	-0,629255	
7200,11	-0,519329	
7200,11	-0,634592	
7300,13	-0,6477	
7300,13	-0,517218	
7300,14	-0,576352	
7399,97	-0,571401	
7399,97	-0,610726	
7399,98	-0,593311	
7399,97	-0,586924	
7500	-0,473117	
7500	-0,570247	
7499,99	-0,527292	
7600,02	-0,487778	
7600,02	-0,512981	
7600,02	-0,508403	
7700,05	-0,486707	
7700,05	-0,51218	
7700,05	-0,575066	
7700,05	-0,604179	
7800,07	-0,610878	
7800,07	-0,573141	
7800,07	-0,485488	
7900,09	-0,488378	
7900,1	-0,43212	
7900,1	-0,490089	
8000,12	-0,388682	
8000,12	-0,491837	
8000,12	-0,528211	
8000,12	-0,407997	
8100,15	-0,295275	
