Frequency - Plot 0	Phase - Plot 0	
8700,11	-41,3573	
8700,11	-41,2756	
8700,11	-41,4047	
8800,14	-41,5153	
8800,14	-41,4237	
8800,13	-41,4697	
8900,16	-41,5699	
8900,16	-41,6441	
8900,16	-41,6432	
8900,16	-41,636	
9000	-41,8139	
9000	-41,7686	
9000	-41,8009	
9100,02	-41,9407	
9100,02	-41,963	
9100,02	-41,8243	
9200,05	-42,1246	
9200,05	-41,9092	
9200,05	-41,8309	
9200,05	-42,092	
9300,07	-42,0197	
9300,07	-42,2056	
9300,07	-42,0525	
9400,1	-42,1641	
9400,1	-42,1888	
9400,1	-42,3719	
9500,12	-42,3971	
9500,12	-42,4061	
9500,12	-42,3379	
9500,12	-42,3499	
9600,14	-42,442	
9600,15	-42,5073	
9600,15	-42,4847	
9699,98	-42,6313	
9699,98	-42,5825	
9699,98	-42,6065	
9800,01	-42,5541	
9800,01	-42,6206	
9800,01	-42,627	
9800,01	-42,6226	
9900,04	-42,6525	
9900,03	-42,8339	
9900,03	-42,8605	
10000,1	-42,8142	
10000,1	-42,8595	
10000,1	-42,9004	
10100,1	-42,8035	
10100,1	-42,9993	
10100,1	-42,9869	
10100,1	-42,9765	
10200,1	-43,1293	
10200,1	-43,036	
10200,1	-43,0612	
10300,1	-43,0837	
10300,1	-43,0832	
10300,1	-43,0256	
10400,2	-43,1657	
10400,2	-43,2287	
10400,2	-43,2021	
10400,2	-43,2012	
10500	-43,0445	
10500	-43,1592	
10500	-43,19	
10600	-43,2323	
10600	-43,2907	
10600	-43,3244	
10700	-43,3703	
10700	-43,3503	
10700	-43,3913	
10700	-43,4972	
10800,1	-43,4816	
10800,1	-43,5362	
10800,1	-43,4836	
10900,1	-43,4404	
10900,1	-43,4501	
10900,1	-43,4786	
11000,1	-43,6326	
11000,1	-43,6363	
11000,1	-43,5222	
11000,1	-43,5081	
11100,1	-43,5451	
11100,1	-43,6426	
11100,1	-43,5164	
11200,2	-43,6771	
11200,2	-43,6519	
11200,2	-43,7238	
11300	-43,77	
11300	-43,7284	
11300	-43,6649	
11300	-43,6827	
11400	-43,816	
11400	-43,7094	
11400	-43,916	
11500,1	-43,7632	
11500,1	-43,8543	
11500,1	-43,8107	
11600,1	-43,9272	
11600,1	-44,0033	
11600,1	-43,7647	
11600,1	-43,8345	
11700,1	-43,9764	
11700,1	-43,8518	
11700,1	-43,8752	
11800,1	-43,926	
11800,1	-43,89	
11800,1	-43,7549	
11900,2	-43,9936	
11900,2	-44,0153	
11900,2	-43,9222	
11981,9	194,825	
12000,2	-44,075	
12000,2	-43,9851	
12000,2	-43,8007	
12100	-43,9456	
12100	-43,9278	
12100	-44,0631	
12200	-44,1319	
12200	-44,1629	
12200	-44,1354	
12300,1	-44,066	
12300,1	-44,0873	
12300,1	-43,944	
12300,1	-44,0207	
12400,1	-44,2014	
12400,1	-43,9856	
12400,1	-44,0894	
12500,1	-44,1795	
12500,1	-44,2614	
12500,1	-44,0942	
12594,6	-149,496	
12600,1	-44,2749	
12600,1	-44,1828	
12600,1	-44,0966	
12700,2	-44,1774	
12700,2	-44,1017	
12700,2	-44,095	
12800	-44,0233	
12800	-44,1992	
12800	-44,1324	
12900	-44,0321	
12900	-44,3059	
12900	-44,0937	
12900	-43,9651	
13000,1	-44,3101	
13000,1	-44,1324	
13000,1	-44,3018	
13100,1	-44,0537	
13100,1	-44,2054	
13100,1	-44,1886	
13200,1	-44,2355	
13200,1	-44,2822	
13200,1	-44,2337	
13200,1	-44,0738	
13300,1	-44,1275	
13300,1	-44,1103	
13300,1	-44,0495	
13400,2	-43,9876	
13400,2	-44,0945	
13400,2	-44,1211	
13500,2	-44,276	
13500,2	-44,2268	
13500,2	-44,1941	
13500,2	-44,0594	
13600	-44,0993	
13600	-44,1841	
13600	-44,2583	
13700	-44,0337	
13700	-44,2412	
13700	-44,0982	
13800,1	-44,0372	
13800,1	-44,2937	
13800,1	-44,1041	
13800,1	-44,1094	
13900,1	-44,0865	
13900,1	-44,3083	
13900,1	-44,0685	
14000,1	-44,2038	
14000,1	-44,0989	
14000,1	-44,0029	
14100,1	-44,1023	
14100,1	-44,2007	
14100,1	-44,2236	
14100,1	-44,2224	
14200,2	-44,0901	
14200,2	-44,1121	
14200,2	-44,2638	
14300,2	-44,1315	
14300,2	-44,0793	
14300,2	-44,07	
