Frequency - Plot 0	Voltage(V) - Plot 0	
9600,15	1,03973	
9699,98	1,03208	
9699,98	1,03216	
9699,98	1,0322	
9699,98	1,03221	
9800,01	1,02467	
9800,01	1,02481	
9800,01	1,02482	
9900,03	1,01741	
9900,03	1,01736	
9900,03	1,01741	
10000,1	1,01012	
10000,1	1,01013	
10000,1	1,01007	
10100,1	1,00281	
10100,1	1,0028	
10100,1	1,00289	
10200,1	0,995741	
10200,1	0,995664	
10200,1	0,995718	
10200,1	0,995724	
10300,1	0,988591	
10300,1	0,98863	
10300,1	0,98866	
10400,2	0,981633	
10400,2	0,981704	
10400,2	0,981759	
10500	0,974743	
10500	0,974868	
10500	0,974913	
10600	0,967994	
10600	0,968025	
10600	0,968114	
10684,2	0,905965	
10700	0,961305	
10700	0,961322	
10700	0,961333	
10800,1	0,954615	
10800,1	0,954702	
10800,1	0,954774	
10900,1	0,948151	
10900,1	0,948198	
10900,1	0,948157	
11000,1	0,941619	
11000,1	0,941658	
11000,1	0,941631	
11100,1	0,935251	
11100,1	0,935141	
11100,1	0,935224	
11100,1	0,935211	
11200,2	0,928794	
11200,2	0,928845	
11200,2	0,928837	
11300	0,922504	
11300	0,922592	
11300	0,922503	
11400	0,916305	
11400	0,916365	
11400	0,916329	
11500,1	0,910167	
11500,1	0,910267	
11500,1	0,910181	
11600,1	0,904148	
11600,1	0,90413	
11600,1	0,904133	
11600,1	0,904095	
11700,1	0,898099	
11700,1	0,898111	
11700,1	0,898218	
11800,1	0,8922	
11800,1	0,892191	
11800,1	0,892267	
11900,2	0,886305	
11900,2	0,886365	
11900,2	0,886327	
12000,2	0,880501	
12000,2	0,880501	
12000,2	0,880531	
12100	0,874801	
12100	0,874789	
12100	0,87489	
12100	0,874862	
12200	0,869168	
12200	0,869153	
12200	0,869258	
12300,1	0,86359	
12300,1	0,863611	
12300,1	0,863592	
12400,1	0,858043	
12400,1	0,858163	
12400,1	0,858071	
12500,1	0,852566	
12500,1	0,85259	
12500,1	0,852651	
12594,5	0,840829	
12600,1	0,84717	
12600,1	0,847169	
12600,1	0,847245	
12700,2	0,841817	
12700,2	0,841801	
12700,2	0,841803	
12800	0,836524	
12800	0,836504	
12800	0,836536	
12900	0,831274	
12900	0,831308	
12900	0,831338	
13000,1	0,82611	
13000,1	0,826177	
13000,1	0,826188	
13000,1	0,826165	
13100,1	0,821064	
13100,1	0,821126	
13100,1	0,821072	
13200,1	0,815954	
13200,1	0,815964	
13200,1	0,815959	
13300,1	0,810916	
13300,1	0,811037	
13300,1	0,811044	
13400,2	0,805927	
13400,2	0,80595	
13400,2	0,80596	
13500,2	0,800981	
13500,2	0,801043	
13500,2	0,80103	
13500,2	0,801103	
13600	0,796191	
13600	0,796229	
13600	0,796271	
13700	0,791358	
13700	0,791458	
13700	0,791447	
13800,1	0,786685	
13800,1	0,786766	
13800,1	0,786681	
13900,1	0,782004	
13900,1	0,781924	
13900,1	0,78197	
13992,7	0,753076	
14000,1	0,777355	
14000,1	0,777333	
14000,1	0,777328	
14100,1	0,772787	
14100,1	0,772816	
14100,1	0,772833	
14200,2	0,768221	
14200,2	0,7682	
14200,2	0,768263	
14300,2	0,763722	
14300,2	0,763654	
14300,2	0,763662	
14400	0,759285	
14400	0,759279	
14400	0,759248	
