Frequency - Plot 0	Phase - Plot 0	
8600,09	-0,504628	
8700,11	-0,438174	
8700,11	-0,41466	
8700,11	-0,431843	
8700,11	-0,586189	
8800,13	-0,458923	
8800,13	-0,558891	
8800,13	-0,413854	
8900,16	-0,537187	
8900,16	-0,435914	
8900,16	-0,309109	
9000	-0,460569	
9000	-0,458289	
9000	-0,410679	
9000	-0,441024	
9100,02	-0,48622	
9100,02	-0,507594	
9100,02	-0,362965	
9200,05	-0,384296	
9200,05	-0,456926	
9200,05	-0,506428	
9300,07	-0,458829	
9300,07	-0,555295	
9300,07	-0,326438	
9300,07	-0,524071	
9400,09	-0,265127	
9400,09	-0,4575	
9400,1	-0,474214	
9500,12	-0,543459	
9500,12	-0,552329	
9500,12	-0,41185	
9600,15	-0,311805	
9600,14	-0,260383	
9600,14	-0,407895	
9600,15	-0,316821	
9699,99	-0,474831	
9699,99	-0,337509	
9699,99	-0,414505	
9800,01	-0,395315	
9800,01	-0,343668	
9800,01	-0,425891	
9900,04	-0,263852	
9900,03	-0,419516	
9900,04	-0,314101	
9900,03	-0,368379	
10000,1	-0,316519	
10000,1	-0,290007	
10000,1	-0,328685	
10100,1	-0,392919	
10100,1	-0,363753	
10100,1	-0,530361	
10200,1	-0,449206	
10200,1	-0,367475	
10200,1	-0,272204	
10200,1	-0,448762	
10300,1	-0,36785	
10300,1	-0,284749	
10300,1	-0,298943	
10400,2	-0,407526	
10400,2	-0,37333	
10400,2	-0,416007	
10500	-0,449498	
10500	-0,330395	
10500	-0,363362	
10500	-0,460139	
10600	-0,24109	
10600	-0,254091	
10600	-0,342964	
10700	-0,298484	
10700	-0,316715	
10700	-0,359947	
10800,1	-0,378055	
10800,1	-0,41211	
10800,1	-0,34113	
10800,4	-0,961804	
10900,1	-0,226063	
10900,1	-0,228181	
10900,1	-0,345144	
11000,1	-0,337635	
11000,1	-0,403668	
11000,1	-0,251154	
11100,1	-0,381311	
11100,1	-0,171471	
11100,1	-0,306636	
11188,5	-117,045	
11200,2	-0,356472	
11200,2	-0,387097	
11200,2	-0,215938	
11300	-0,299813	
11300	-0,290527	
11300	-0,246279	
11400	-0,242804	
11400	-0,273432	
11400	-0,282511	
11453,7	-93,8837	
11500,1	-0,190665	
11500,1	-0,166228	
11500,1	-0,396853	
11600,1	-0,312692	
11600,1	-0,306947	
11600,1	-0,324354	
11700,1	-0,285198	
11700,1	-0,225322	
11700,1	-0,120691	
11703,1	-7,72473	
11800,1	-0,408344	
11800,1	-0,27866	
11800,1	-0,278492	
11900,2	-0,361549	
11900,2	-0,363982	
11900,2	-0,179297	
12000,2	-0,355036	
12000,2	-0,418858	
12000,2	-0,371664	
12014,2	-35,4886	
12100	-0,132882	
12100	-0,318324	
12100	-0,296024	
12200	-0,183101	
12200	-0,411471	
12200	-0,293098	
12300,1	-0,367792	
12300,1	-0,17466	
12300,1	-0,234057	
12388,2	-116,645	
12400,1	-0,150819	
12400,1	-0,188249	
12400,1	-0,271766	
12500,1	-0,263794	
12500,1	-0,172334	
12500,1	-0,181634	
12600,1	-0,107082	
12600,1	-0,278636	
12600,1	-0,205698	
12612,7	-31,1306	
12700,2	-0,236087	
12700,2	-0,165844	
12700,2	-0,0435635	
12800	-0,336729	
12800	-0,381154	
12800	-0,308798	
12900	-0,0644645	
