Frequency - Plot 0	Phase - Plot 0	
599,961	-0,262449	
599,964	-0,281282	
599,967	-0,191593	
699,987	-0,119798	
699,985	-0,124643	
699,988	-0,0264341	
800,013	0,068946	
800,011	0,0711467	
800,015	0,128606	
800,014	0,0658779	
900,036	0,211329	
900,039	0,284356	
900,036	0,218493	
1000,06	0,483249	
1000,06	0,471637	
1000,07	0,446208	
1000,06	0,45134	
1100,08	0,632004	
1100,09	0,606667	
1100,08	0,626972	
1199,93	0,761959	
1199,92	0,806415	
1199,92	0,744159	
1299,95	0,954809	
1299,95	0,948624	
1299,95	1,03799	
1399,97	1,10871	
1399,98	1,08351	
1399,97	1,09472	
1399,97	1,12323	
1500	1,20382	
1500	1,18698	
1500	1,29663	
1600,02	1,55255	
1600,02	1,4101	
1600,03	1,45178	
1696,72	-93,5317	
1700,05	1,59251	
1700,05	1,66086	
1700,05	1,64485	
1800,07	1,83138	
1800,08	1,72153	
1800,07	1,78919	
1900,1	1,9219	
1900,09	1,97766	
1900,1	1,92779	
1999,94	2,10129	
1999,94	2,08414	
1999,94	2,17863	
1999,94	2,11121	
2099,96	2,25138	
2099,97	2,24939	
2099,96	2,25806	
2199,99	2,45073	
2199,99	2,39494	
2199,99	2,47192	
2300,01	2,59119	
2300,01	2,58643	
2300,02	2,60278	
2300,01	2,58599	
2400,04	2,73534	
2400,04	2,75475	
2400,04	2,76794	
2500,06	2,84638	
2500,06	2,91211	
2500,06	2,93924	
2600,09	3,05348	
2600,09	3,07234	
2600,08	3,13755	
2600,09	3,14213	
2700,11	3,33071	
2700,11	3,28983	
2700,11	3,22476	
2799,95	3,49349	
2799,95	3,34736	
2799,95	3,35773	
2899,97	3,57431	
2899,98	3,59676	
2899,97	3,61642	
2899,97	3,60645	
3000	3,72391	
3000	3,75586	
3000	3,88431	
3100,03	3,88533	
3100,03	3,97627	
3100,03	3,91821	
3200,05	4,12024	
3200,05	4,07584	
3200,05	4,0827	
3200,05	4,06386	
3300,07	4,279	
3300,08	4,21418	
3300,07	4,23755	
3400,1	4,44397	
3400,1	4,46605	
3400,1	4,46646	
3499,93	4,57167	
3499,94	4,59733	
3499,94	4,59103	
3499,94	4,73609	
3599,96	4,88497	
3599,96	4,73173	
3599,96	4,7515	
3699,99	4,90645	
3699,99	4,94138	
3699,99	4,91939	
3800,01	5,06114	
3800,01	5,11348	
3800,01	5,2158	
3800,01	5,17013	
3900,04	5,23378	
3900,03	5,22452	
3900,04	5,22075	
4000,06	5,49483	
4000,06	5,44103	
4000,06	5,39625	
4100,09	5,62509	
4100,09	5,54313	
4100,09	5,59735	
4100,09	5,59368	
4200,11	5,68262	
4200,11	5,8413	
4200,11	5,71878	
4299,95	5,91228	
4299,95	5,90163	
4299,95	5,92824	
4399,98	6,04821	
4399,97	5,99528	
4399,97	6,0019	
4399,97	6,17637	
4500	6,17215	
4500	6,27856	
4500	6,26767	
4600,02	6,38578	
4600,02	6,38244	
4600,02	6,44943	
4700,05	6,60215	
4700,05	6,58795	
4700,05	6,61796	
4700,05	6,68387	
4800,07	6,78495	
4800,08	6,82609	
4800,07	6,75145	
4900,1	6,96673	
4900,1	6,90932	
4900,1	6,96124	
5000,12	7,1117	
5000,12	7,07094	
5000,12	7,03344	
5000,12	7,12487	
5099,96	7,26187	
5099,96	7,30163	
5099,96	7,31154	
5199,98	7,43976	
5199,98	7,50458	
5199,99	7,42464	
5300,01	7,65352	
5300,01	7,67267	
5300,01	7,6152	
5300,01	7,5702	
5400,04	7,75766	
5400,03	7,79626	
5400,04	7,67587	
5500,06	7,92657	
5500,06	7,96226	
5500,06	7,9105	
5600,08	8,13178	
5600,09	8,20353	
5600,08	8,02263	
5600,08	8,19113	
5700,11	8,29701	
5700,11	8,33715	
5700,11	8,29697	
5800,13	8,53663	
5800,14	8,47073	
5800,14	8,44991	
5899,98	8,72693	
5899,97	8,55015	
5899,97	8,4899	
5899,98	8,62973	
6000	8,78973	
6000	8,73859	
6000	8,79031	
6100,02	9,01136	
6100,02	8,84977	
6100,03	8,84418	
6200,05	9,03621	
6200,05	9,04536	
6200,05	9,02418	
6200,05	9,07299	
6300,07	9,22061	
6300,07	9,22697	
6300,07	9,3104	
6400,1	9,35815	
6400,1	9,42902	
6400,1	9,45041	
6500,12	9,62651	
6500,12	9,6184	
6500,12	9,46223	
6500,12	9,70859	
6599,96	9,62129	
6599,96	9,79572	
6599,96	9,71626	
6699,99	9,83605	
6699,98	9,91131	
6699,99	9,89345	
6800,01	10,0753	
6800,01	10,1999	
6800,01	10,0199	
6861,53	-94,802	
6900,03	10,2659	
6900,04	10,2827	
6900,04	10,2185	
7000,06	10,2913	
7000,06	10,5387	
7000,06	10,4426	
7100,08	10,4808	
7100,08	10,6387	
7100,08	10,4536	
7102,79	4,41845	
7200,11	10,7253	
7200,11	10,6779	
7200,11	10,6613	
7300,14	10,9302	
7300,13	10,8943	
7300,13	10,9098	
7399,97	11,0709	
7399,97	11,1586	
7399,97	11,1311	
7408,23	-7,5857	
7500	11,2879	
7500	11,1835	
7500	11,4725	
7600,02	11,3315	
7600,03	11,3937	
7600,02	11,3777	
7700,05	11,4764	
7700,05	11,5739	
7700,05	11,5121	
7700,07	11,5354	
7800,07	11,7824	
7800,07	11,7626	
7800,07	11,8004	
7900,1	11,9806	
7900,1	11,9344	
7900,1	11,945	
8000,12	12,0601	
8000,12	11,9931	
8000,12	12,0643	
8100,15	12,3123	
8100,15	12,2071	
8100,15	12,3026	
8100,15	12,0758	
8199,98	12,3337	
8199,98	12,6466	
8199,99	12,2906	
8300,01	12,5324	
8300,01	12,5962	
8300,01	12,5287	
8400,04	12,7036	
8400,04	12,8097	
8400,04	12,7679	
8400,03	12,8457	
8500,06	12,9122	
8500,06	12,8848	
8500,06	12,895	
8600,08	13,1581	
8600,08	13,2048	
8600,08	13,0504	
8700,11	13,3224	
8700,11	13,3254	
8700,11	13,3369	
8700,11	13,298	
8800,14	13,5224	
8800,13	13,4347	
8800,14	13,3771	
8900,16	13,6944	
8900,16	13,4657	
8900,16	13,5242	
9000	13,8214	
9000	13,6648	
9000	13,7432	
9000	13,6951	
9100,02	13,9779	
9100,02	13,8871	
9100,03	14,0133	
9200,05	14,0818	
9200,05	13,9733	
9200,04	14,0101	
9300,07	14,2391	
9300,07	14,2345	
9300,08	14,218	
9300,07	14,2754	
9400,1	14,283	
9400,09	14,3079	
9400,1	14,4935	
9500,12	14,615	
9500,12	14,6348	
9500,12	14,5835	
9600,15	14,7049	
9600,15	14,6691	
9600,15	14,8618	
9600,15	14,6609	
9699,99	15,0338	
9699,98	14,8718	
9699,99	14,9508	
9800,01	15,0175	
9800,01	15,0679	
9800,01	14,9846	
9900,03	15,1752	
9900,03	15,2208	
9900,03	15,2992	
9900,03	15,2532	
10000,1	15,2629	
10000,1	15,3449	
10000,1	15,3229	
10100,1	15,6604	
10100,1	15,564	
10100,1	15,6643	
10200,1	15,7738	
10200,1	15,7127	
10200,1	15,6567	
10200,1	15,7481	
10300,1	16,0129	
10300,1	15,8712	
10300,1	15,974	
10400,2	15,973	
10400,2	16,023	
10400,2	16,0832	
10500	16,1984	
10500	16,2753	
10500	16,2533	
10500	16,2478	
10600	16,4592	
10600	16,4325	
10600	16,3771	
10700	16,6844	
10700	16,4689	
10700	16,6097	
10800,1	16,6989	
10800,1	16,7709	
10800,1	16,7203	
10800,1	16,7124	
10900,1	16,8802	
10900,1	16,9773	
10900,1	16,8248	
11000,1	17,0462	
11000,1	17,0991	
11000,1	17,1493	
11100,1	17,2074	
11100,1	17,0123	
11100,1	17,3399	
11100,1	17,2796	
11200,2	17,378	
11200,2	17,2928	
11200,2	17,3952	
11300	17,6139	
11300	17,486	
11300	17,6062	
11400	17,5914	
11400	17,7289	
11400	17,79	
11400	17,6885	
11500,1	17,873	
11500,1	17,9119	
11500,1	17,843	
11600,1	18,0225	
11600,1	17,9644	
11600,1	17,9334	
11700,1	18,2073	
11700,1	18,0722	
11700,1	18,2782	
11700,1	18,2048	
11800,1	18,3188	
11800,1	18,3257	
