Frequency - Plot 0	Phase - Plot 0	
9500,12	39,9478	
9500,12	39,8245	
9500,12	39,7896	
9600,15	39,6967	
9600,15	39,6694	
9600,15	39,6795	
9699,98	39,5409	
9699,98	39,5836	
9699,98	39,4568	
9699,98	39,5582	
9800,01	39,4284	
9800,01	39,3626	
9800,01	39,2986	
9900,03	39,1486	
9900,04	39,2423	
9900,04	39,0773	
10000,1	38,9864	
10000,1	38,9543	
10000,1	39,1116	
10000,1	39,0527	
10100,1	38,7642	
10100,1	38,8605	
10100,1	38,9008	
10200,1	38,7158	
10200,1	38,7265	
10200,1	38,7485	
10300,1	38,6053	
10300,1	38,5381	
10300,1	38,6057	
10300,1	38,6094	
10400,2	38,3857	
10400,2	38,4571	
10400,2	38,4076	
10500	38,1216	
10500	38,1632	
10500	38,2471	
10600	38,3219	
10600	38,1469	
10600	38,1755	
10600	38,2629	
10700	38,0067	
10700	37,898	
10700	37,9929	
10800,1	37,8853	
10800,1	37,9772	
10800,1	37,8586	
10900,1	37,8213	
10900,1	37,8285	
10900,1	37,7884	
10900,1	37,9199	
11000,1	37,7455	
11000,1	37,572	
11000,1	37,6525	
11100,1	37,5444	
11100,1	37,5525	
11100,1	37,4128	
11200,2	37,3633	
11200,2	37,2901	
11200,2	37,3877	
11200,2	37,3135	
11300	37,3345	
11300	37,2711	
11300	37,1388	
11400	37,2097	
11400	37,0459	
11400	37,2356	
11500,1	36,8866	
11500,1	36,9673	
11500,1	37,0955	
11500,1	36,81	
11600,1	36,8946	
11600,1	36,9405	
11600,1	36,9015	
11700,1	36,7532	
11700,1	36,7664	
11700,1	36,7006	
11800,1	36,7941	
11800,1	36,8148	
11800,1	36,6652	
11800,1	36,6709	
11900,2	36,678	
11900,2	36,553	
11900,2	36,4092	
12000,2	36,4529	
12000,2	36,496	
12000,2	36,4454	
12100	36,486	
12100	36,4591	
12100	36,4196	
12146,1	-47,9632	
12200	36,3857	
12200	36,2796	
12200	36,1756	
12300,1	36,2178	
12300,1	36,159	
12300,1	36,127	
12400,1	36,0221	
12400,1	36,2447	
12400,1	36,1103	
12468,1	-78,086	
12500,1	36,0238	
12500,1	35,8774	
12500,1	36,1149	
12600,1	36,0918	
12600,1	35,9432	
12600,1	35,8201	
12700,2	35,6775	
12700,2	35,7928	
12700,2	35,9044	
12795,6	-79,3493	
12800	35,9167	
12800	35,8751	
12800	35,8242	
12900	35,8118	
12900	35,7462	
12900	35,7818	
13000,1	35,6953	
13000,1	35,6377	
13000,1	35,6305	
13100,1	35,5213	
13100,1	35,5752	
13100,1	35,6116	
13100,1	35,4759	
13200,1	35,4985	
13200,1	35,5486	
13200,1	35,3825	
13300,1	35,4555	
13300,1	35,2819	
13300,1	35,5767	
13400,2	35,395	
13400,2	35,2678	
13400,2	35,2716	
13400,2	35,3431	
13500,2	35,1904	
13500,2	35,2997	
13500,2	35,2858	
13600	35,1682	
13600	35,2476	
13600	35,2113	
13700	34,9874	
13700	35,2543	
13700	35,185	
13700	35,0976	
13800,1	34,9657	
13800,1	35,1403	
13800,1	35,0903	
13900,1	34,9617	
13900,1	35,0052	
13900,1	34,8237	
14000,1	34,9458	
14000,1	34,9857	
14000,1	34,8634	
14000,1	34,7949	
14100,1	34,5978	
14100,1	34,7866	
14100,1	34,8286	
14200,2	34,8008	
14200,2	34,907	
14200,2	34,8165	
14300,2	34,7139	
14300,2	34,678	
14300,2	34,7133	
14300,2	34,6597	
14400	34,4867	
14400	34,7649	
14400	34,8734	
